Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
577078,21945,STRAWBERRIES  DESIGN FLANNEL ,1,,1.63,,United Kingdom
562670,21912,VINTAGE SNAKES & LADDERS,4,2011-08-08 13:42:00,3.75,14911.0,EIRE
539441,22816,CARD MOTORBIKE SANTA,1,,0.42,,United Kingdom
559055,22268,DECORATION SITTING BUNNY,1,2011-05-07 17:09:00,0.63,,United Kingdom
518228,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-05-08 15:01:00,1.69,13031.0,United Kingdom
538071,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-09-12 14:09:00,5.91,,United Kingdom
489597,22207,FRYING PAN UNION FLAG,1,2009-01-12 14:28:00,8.65,,United Kingdom
568657,84012,MAGIC SHEEP WOOL GROWING FROM PAPER,2,,0.85,16460.0,United Kingdom
535796,22866,HAND WARMER SCOTTY DOG DESIGN,2,,2.1,17322.0,United Kingdom
521478,21934,SKULL SHOULDER BAG,1,2010-06-09 12:55:00,1.65,17841.0,United Kingdom
571274,84836,ZINC METAL HEART DECORATION,12,,1.25,16934.0,United Kingdom
521795,20718,RED SPOTTY SHOPPER BAG,1,2010-08-09 13:57:00,2.51,,United Kingdom
506718,22553,PLASTERS IN TIN SKULLS,12,2010-04-05 09:01:00,1.65,17091.0,United Kingdom
496290,48138,DOOR MAT UNION FLAG,1,,13.57,,United Kingdom
518662,90163A,PINK ROSEBUD & PEARL NECKLACE,1,2010-10-08 14:08:00,7.64,,United Kingdom
554013,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,24,,2.75,13308.0,United Kingdom
576603,22550,HOLIDAY FUN LUDO,4,,3.75,14911.0,EIRE
569524,22867,HAND WARMER BIRD DESIGN,1,2011-04-10 14:42:00,2.1,14506.0,United Kingdom
490938,84680,CLASSICAL ROSE URN,1,2009-08-12 13:59:00,7.95,14605.0,United Kingdom
529362,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,,3.75,17994.0,United Kingdom
534859,22625,RED KITCHEN SCALES,1,,16.98,,United Kingdom
529630,22493,PAINT YOUR OWN CANVAS SET,12,,1.65,17334.0,United Kingdom
490074,79315W,FLYING SAUCER TABLE LIGHT IN WHITE,1,2009-03-12 14:39:00,6.04,,United Kingdom
537823,22616,PACK OF 12 LONDON TISSUES ,1,2010-08-12 14:25:00,0.85,,United Kingdom
493439,79337,BLUE FLOCK GLASS CANDLEHOLDER,96,2010-04-01 13:25:00,0.38,13694.0,United Kingdom
551824,21534,DAIRY MAID LARGE MILK JUG,3,2011-04-05 12:32:00,4.95,15128.0,United Kingdom
508615,21913,VINTAGE SEASIDE JIGSAW PUZZLES,4,,3.75,14156.0,EIRE
542110,22727,ALARM CLOCK BAKELIKE RED ,4,,3.75,14189.0,United Kingdom
491041,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2009-09-12 09:42:00,6.04,,United Kingdom
550953,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,2,,3.29,,United Kingdom
506897,22625,RED KITCHEN SCALES,2,2010-05-05 09:34:00,8.5,13393.0,United Kingdom
501444,22068,BLACK PIRATE TREASURE CHEST,12,,1.65,17716.0,United Kingdom
560434,22639,SET OF 4 NAPKIN CHARMS HEARTS,2,,2.55,,United Kingdom
514835,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,2010-06-07 14:25:00,2.98,,United Kingdom
537674,21868,POTTING SHED TEA MUG,12,2010-08-12 09:51:00,1.25,15628.0,United Kingdom
536793,22727,ALARM CLOCK BAKELIKE RED ,4,2010-02-12 15:39:00,3.75,16203.0,United Kingdom
551869,21721,CANDY SHOP  STICKER SHEET,10,2011-04-05 16:36:00,0.85,16767.0,United Kingdom
556636,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,,3.29,,United Kingdom
519696,22673,FRENCH GARDEN SIGN BLUE METAL,12,,1.25,13089.0,United Kingdom
497873,84978,HANGING HEART JAR T-LIGHT HOLDER,2,2010-12-02 17:03:00,2.51,,United Kingdom
506709,85202,HANGING WOOD AND FELT HEART,2,2010-02-05 15:10:00,0.42,15426.0,United Kingdom
571286,23405,HOME SWEET HOME 2 DRAWER CABINET,1,,4.95,14547.0,United Kingdom
539595,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,1,,8.47,,United Kingdom
541979,21465,PINK FLOWER CROCHET FOOD COVER,6,,3.75,14911.0,EIRE
493120,72045D,,520,,0.0,,United Kingdom
495443,84212,"ASSORTED FLOWER COLOUR ""LEIS""",6,,0.65,,United Kingdom
537239,22795,SWEETHEART RECIPE BOOK STAND,2,2010-06-12 10:05:00,6.75,18219.0,United Kingdom
543732,22197,SMALL POPCORN HOLDER,2,2011-11-02 12:02:00,1.63,,United Kingdom
517265,21245,GREEN  SPOTTY PLATE ,8,,1.69,16170.0,United Kingdom
536592,20733,GOLD MINI TAPE MEASURE ,6,2010-01-12 17:06:00,0.85,,United Kingdom
566985,22422,TOOTHPASTE TUBE PEN,1,,1.25,,United Kingdom
536036,21238,RED RETROSPOT CUP,12,,0.85,15950.0,United Kingdom
549965,21891,TRADITIONAL WOODEN SKIPPING ROPE,24,,1.45,16966.0,United Kingdom
519693,22465,HANGING METAL STAR LANTERN,6,,1.65,14667.0,United Kingdom
540248,22558,CLOTHES PEGS RETROSPOT PACK 24 ,6,2011-05-01 15:57:00,1.49,15034.0,United Kingdom
546863,16016,LARGE CHINESE STYLE SCISSOR,60,,0.85,16377.0,United Kingdom
492659,22096,PINK PAISLEY SQUARE TISSUE BOX ,1,,1.25,16720.0,United Kingdom
558481,20725,LUNCH BAG RED RETROSPOT,10,,1.65,17675.0,United Kingdom
523175,21232,STRAWBERRY CERAMIC TRINKET BOX,1,,2.51,,United Kingdom
527928,21888,BINGO SET,4,,3.75,13488.0,United Kingdom
567671,20676,RED RETROSPOT BOWL,1,,2.46,,United Kingdom
490100,21166,COOK WITH WINE METAL SIGN ,4,2009-03-12 16:21:00,1.95,13001.0,United Kingdom
504145,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-11-04 13:09:00,1.25,13786.0,United Kingdom
543587,21906,PHARMACIE FIRST AID TIN,2,2011-10-02 11:39:00,6.75,12561.0,Germany
571318,22492,MINI PAINT SET VINTAGE ,576,,0.65,17404.0,Sweden
535576,22899,CHILDREN'S APRON DOLLY GIRL ,6,,2.1,12865.0,Austria
522059,20963,APPLE BATH SPONGE,2,2010-10-09 15:51:00,1.25,15856.0,United Kingdom
578811,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,,1.45,12438.0,Norway
539464,21479,WHITE SKULL HOT WATER BOTTLE ,1,,3.75,17913.0,United Kingdom
562153,23191,BUNDLE OF 3 RETRO NOTE BOOKS,48,2011-03-08 11:21:00,1.45,14088.0,United Kingdom
540838,22555,PLASTERS IN TIN STRONGMAN,12,2011-11-01 15:13:00,1.65,13862.0,United Kingdom
541213,22151,PLACE SETTING WHITE HEART,10,,0.42,15033.0,United Kingdom
529573,84988,SET OF 72 PINK HEART PAPER DOILIES,4,,1.45,16242.0,United Kingdom
530649,22356,CHARLOTTE BAG PINK POLKADOT,10,2010-04-11 08:46:00,0.85,12839.0,United Kingdom
556094,21218,RED SPOTTY BISCUIT TIN,1,2011-08-06 15:26:00,8.29,,United Kingdom
490710,20692,FLORAL ELEPHANT SOFT TOY,3,2009-07-12 15:19:00,4.25,17990.0,United Kingdom
537240,90056,CHUNKY CRACKED GLAZE NECKLACE IVORY,1,2010-06-12 10:08:00,11.05,,United Kingdom
522437,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,2,,0.85,17346.0,United Kingdom
512285,21911,GARDEN METAL SIGN ,1,,1.65,13069.0,United Kingdom
572242,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,,1.25,15677.0,United Kingdom
578634,22464,HANGING METAL HEART LANTERN,12,,1.65,16566.0,United Kingdom
554906,22969,HOMEMADE JAM SCENTED CANDLES,12,,1.45,14194.0,United Kingdom
517871,22575,METAL MERRY CHRISTMAS WREATH,1,2010-02-08 15:25:00,1.95,16814.0,United Kingdom
527336,22711,WRAP CIRCUS PARADE,25,,0.42,18151.0,United Kingdom
580115,22627,MINT KITCHEN SCALES,1,2011-01-12 16:22:00,16.63,,United Kingdom
515335,22349,DOG BOWL CHASING BALL DESIGN,1,2010-11-07 14:19:00,3.75,14606.0,United Kingdom
521471,20726,LUNCH BAG WOODLAND,30,2010-06-09 12:09:00,1.65,14680.0,United Kingdom
506869,20685,DOOR MAT RED SPOT,1,2010-04-05 15:45:00,13.57,,United Kingdom
550617,20725,LUNCH BAG RED RETROSPOT,10,,1.65,13376.0,United Kingdom
514319,21577,SAVE THE PLANET COTTON TOTE BAG,6,2010-01-07 13:46:00,2.25,12576.0,Poland
538419,21463,MIRRORED DISCO BALL ,1,2010-12-12 12:01:00,5.95,16367.0,United Kingdom
545153,21042,RED RETROSPOT APRON ,6,,5.95,16667.0,United Kingdom
557858,23196,RETRO LEAVES MAGNETIC NOTEPAD,1,,1.45,14159.0,United Kingdom
502486,22379,RECYCLING BAG RETROSPOT ,1,,4.21,,United Kingdom
551012,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,3,,6.63,,United Kingdom
559884,22609,PENS ASSORTED SPACEBALL,72,,0.19,16843.0,United Kingdom
516851,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,12,,1.25,15674.0,United Kingdom
492441,21144,PINK POODLE HANGING DECORATION ,12,,0.38,14484.0,United Kingdom
560434,21179,NO JUNK MAIL METAL SIGN,1,,1.63,,United Kingdom
505071,84467,,38,,0.0,,United Kingdom
498832,22118,JOY WOODEN BLOCK LETTERS,1,,4.95,17377.0,United Kingdom
576066,21934,SKULL SHOULDER BAG,1,,1.65,16898.0,United Kingdom
580596,85199S,SMALL HANGING IVORY/RED WOOD BIRD,24,2011-05-12 11:01:00,0.42,15392.0,United Kingdom
511481,15034,PAPER POCKET TRAVELING FAN ,1,2010-08-06 14:00:00,0.14,15353.0,United Kingdom
578792,21733,RED HANGING HEART T-LIGHT HOLDER,32,,2.55,14911.0,EIRE
548312,85066,CREAM SWEETHEART MINI CHEST,1,,12.75,16059.0,United Kingdom
495467,21384,IVORY HANGING DECORATION  BUTTERFLY,24,,0.85,13001.0,United Kingdom
504328,21713,CITRONELLA CANDLE FLOWERPOT,2,2010-12-04 15:59:00,2.1,16987.0,United Kingdom
565417,22947,WOODEN ADVENT CALENDAR RED,2,2011-04-09 12:04:00,16.95,15738.0,United Kingdom
575176,16219,HOUSE SHAPE PENCIL SHARPENER,2,2011-08-11 18:29:00,0.83,,United Kingdom
525882,22664,TOY TIDY DOLLY GIRL DESIGN,2,2010-07-10 14:28:00,4.21,,United Kingdom
573633,21621,VINTAGE UNION JACK BUNTING,1,,12.46,,United Kingdom
558758,22222,CAKE PLATE LOVEBIRD WHITE,2,2011-03-07 12:27:00,4.95,17939.0,United Kingdom
515599,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,,1.95,17773.0,United Kingdom
515336,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,2010-11-07 15:06:00,1.95,17289.0,United Kingdom
556195,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,6,2011-09-06 12:21:00,4.95,16745.0,United Kingdom
547884,22715,CARD WEDDING DAY,12,,0.42,13481.0,United Kingdom
496976,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2010-05-02 09:28:00,2.95,12500.0,Germany
570862,23506,MINI PLAYING CARDS SPACEBOY ,20,2011-12-10 15:35:00,0.42,17528.0,United Kingdom
531353,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-07-11 13:47:00,0.95,15571.0,United Kingdom
545045,85174,S/4 CACTI CANDLES,2,,4.95,15708.0,United Kingdom
545349,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,2011-02-03 11:07:00,2.95,18118.0,United Kingdom
564725,21154,RED RETROSPOT OVEN GLOVE ,1,,1.25,18041.0,United Kingdom
531782,22731,3D CHRISTMAS STAMPS STICKERS ,1,2010-09-11 14:48:00,1.25,16021.0,United Kingdom
539111,22786,CUSHION COVER PINK UNION JACK,4,,5.95,14414.0,United Kingdom
503616,48185,DOOR MAT FAIRY CAKE,2,2010-06-04 11:21:00,7.49,15215.0,United Kingdom
565119,16161U,WRAP SUKI AND FRIENDS,25,2011-01-09 11:38:00,0.42,16722.0,United Kingdom
508060,22224,WHITE LOVEBIRD LANTERN,6,2010-12-05 13:43:00,2.95,13052.0,United Kingdom
542128,22505,MEMO BOARD COTTAGE DESIGN,4,,4.95,12609.0,Germany
524723,21215,IVORY PAPER CUP CAKE CASES ,24,,0.55,16214.0,United Kingdom
550164,22384,LUNCH BAG PINK POLKADOT,10,,1.65,13590.0,United Kingdom
506863,21527,RETRO SPOT TRADITIONAL TEAPOT ,2,2010-04-05 15:04:00,7.95,15391.0,United Kingdom
575875,23344,JUMBO BAG 50'S CHRISTMAS ,2,2011-11-11 13:06:00,4.13,,United Kingdom
495591,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,144,,3.75,14646.0,Netherlands
521368,48111,DOORMAT 3 SMILEY CATS,10,2010-05-09 11:13:00,6.35,15981.0,United Kingdom
573002,22543,MINI JIGSAW BAKE A CAKE ,240,,0.36,14646.0,Netherlands
525007,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-03-10 10:50:00,2.95,15196.0,United Kingdom
568191,84050,PINK HEART SHAPE EGG FRYING PAN,2,,1.65,16655.0,United Kingdom
572726,23132,SMALL IVORY HEART WALL ORGANISER,1,,5.75,16056.0,United Kingdom
491079,85047,WHITE BEADED GARLAND STRING 20LIGHT,3,2009-09-12 13:06:00,6.35,14295.0,United Kingdom
532419,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1,2010-12-11 09:18:00,5.91,,United Kingdom
537133,22480,RED TEA TOWEL CLASSIC DESIGN,1,2010-05-12 12:29:00,1.25,18156.0,United Kingdom
568060,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,,8.5,14546.0,United Kingdom
537608,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,3,2010-07-12 13:20:00,3.75,15024.0,United Kingdom
528952,22162,HEART GARLAND RUSTIC PADDED,1,,3.36,,United Kingdom
515418,22198,LARGE POPCORN HOLDER ,2,2010-12-07 13:11:00,1.65,17841.0,United Kingdom
564184,23301,GARDENERS KNEELING PAD KEEP CALM ,12,,1.65,,EIRE
577010,22547,MINI JIGSAW DINOSAUR ,10,,0.42,15506.0,United Kingdom
518775,22222,CAKE PLATE LOVEBIRD WHITE,1,2010-11-08 15:46:00,10.17,,United Kingdom
536945,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2010-03-12 12:24:00,4.25,14083.0,United Kingdom
581399,22547,MINI JIGSAW DINOSAUR ,48,2011-08-12 13:27:00,0.19,17528.0,United Kingdom
497202,21717,EASTER TIN BUCKET,1,2010-07-02 11:38:00,2.55,15059.0,United Kingdom
567665,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2,,0.63,,United Kingdom
542231,22147,FELTCRAFT BUTTERFLY HEARTS,5,,1.45,16714.0,United Kingdom
517271,84879,ASSORTED COLOUR BIRD ORNAMENT,8,,1.69,17122.0,United Kingdom
540515,21179,NO JUNK MAIL METAL SIGN,2,2011-09-01 11:54:00,1.25,15059.0,United Kingdom
528916,21934,SKULL SHOULDER BAG,1,,1.65,16782.0,United Kingdom
494471,22329,ROUND CONTAINER SET OF 5 RETROSPOT,2,,1.65,13680.0,United Kingdom
490667,21385,IVORY HANGING DECORATION  HEART,6,2009-07-12 12:32:00,0.85,13234.0,United Kingdom
580272,22952,60 CAKE CASES VINTAGE CHRISTMAS,1,2011-02-12 12:52:00,0.55,15547.0,United Kingdom
507364,21136,PAINTED METAL PEARS ASSORTED,8,2010-07-05 16:26:00,1.69,17808.0,United Kingdom
520059,22489,PACK OF 12 TRADITIONAL CRAYONS,2,,0.42,15003.0,United Kingdom
581405,21790,VINTAGE SNAP CARDS,2,2011-08-12 13:50:00,0.85,13521.0,United Kingdom
553046,20726,LUNCH BAG WOODLAND,10,,1.65,13534.0,United Kingdom
532617,20622,VIPPASSPORT COVER ,1,2010-12-11 15:23:00,4.21,,United Kingdom
566123,22424,ENAMEL BREAD BIN CREAM,1,2011-09-09 11:15:00,12.75,15039.0,United Kingdom
523133,21868,POTTING SHED TEA MUG,12,,1.25,16168.0,United Kingdom
529132,22492,MINI PAINT SET VINTAGE ,72,,0.65,13157.0,United Kingdom
553200,47566,PARTY BUNTING,3,,4.95,16034.0,United Kingdom
570239,22865,HAND WARMER OWL DESIGN,6,2011-09-10 15:04:00,2.1,16518.0,United Kingdom
537666,85202,HANGING WOOD AND FELT HEART,1,2010-07-12 18:36:00,0.84,,United Kingdom
537683,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-08-12 10:14:00,3.75,12921.0,United Kingdom
571098,22457,NATURAL SLATE HEART CHALKBOARD ,7,,2.95,17841.0,United Kingdom
575640,22093,MOTORING TISSUE BOX,1,2011-10-11 14:01:00,0.39,13148.0,United Kingdom
579712,23339,EGG FRYING PAN BLUE ,1,,2.08,15467.0,United Kingdom
573485,22553,PLASTERS IN TIN SKULLS,5,,1.65,15752.0,United Kingdom
575477,23473,WOODLAND SMALL RED FELT HEART,3,2011-09-11 16:14:00,1.63,,United Kingdom
515761,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,1,,2.1,17377.0,United Kingdom
551997,21288,STRIPEY CHOCOLATE NESTING BOXES,1,2011-05-05 15:47:00,3.29,,United Kingdom
553199,20767,BLUE PAISLEY JOURNAL ,1,,2.55,17758.0,United Kingdom
505362,22249,DECORATION WHITE CHICK MAGIC GARDEN,16,,0.85,13728.0,United Kingdom
500827,46776B,WOVEN BERRIES CUSHION COVER ,1,2010-10-03 11:10:00,4.21,,United Kingdom
571685,21231,SWEETHEART CERAMIC TRINKET BOX,12,,1.25,12863.0,United Kingdom
513574,21004,ROSE DU SUD CHILDS APRON,1,,4.21,,United Kingdom
509453,21314,SMALL GLASS HEART TRINKET POT,48,,1.85,13381.0,United Kingdom
567670,85061W,WHITE JEWELLED HEART DECORATION,1,,1.63,,United Kingdom
558904,23165,LARGE CERAMIC TOP STORAGE JAR,1,2011-04-07 16:18:00,3.29,,United Kingdom
557628,21899,"KEY FOB , GARAGE DESIGN",2,,0.65,15311.0,United Kingdom
553921,47585A,PINK FAIRY CAKE CUSHION COVER,4,,3.75,13376.0,United Kingdom
558752,22556,PLASTERS IN TIN CIRCUS PARADE ,13,2011-03-07 11:40:00,1.65,16931.0,United Kingdom
578757,85199S,SMALL HANGING IVORY/RED WOOD BIRD,2,,0.42,12748.0,United Kingdom
533573,22047,EMPIRE GIFT WRAP,25,,0.42,15757.0,United Kingdom
565727,22727,ALARM CLOCK BAKELIKE RED ,4,2011-06-09 11:58:00,3.75,13158.0,United Kingdom
567654,23423,PANTRY 3 HOOK ROLLING PIN HANGER,6,,3.75,16627.0,United Kingdom
504640,79323W,WHITE CHERRY LIGHTS,4,,6.75,17032.0,United Kingdom
554285,20712,JUMBO BAG WOODLAND ANIMALS,2,,4.13,,United Kingdom
494028,72753D,S/3 FLWR FAIRY SUMMER CANDLES,8,2010-11-01 10:15:00,2.1,17113.0,United Kingdom
518348,22627,MINT KITCHEN SCALES,2,2010-06-08 14:15:00,8.5,17646.0,United Kingdom
519560,47593B,SCOTTIE DOGS BABY BIB,2,,0.85,,United Kingdom
495715,21179,NO JUNK MAIL METAL SIGN,2,,1.25,13610.0,United Kingdom
550651,22584,PACK OF 6 PANNETONE GIFT BOXES,2,,2.55,15436.0,United Kingdom
550520,22300,COFFEE MUG DOG + BALL DESIGN,6,,2.55,16170.0,United Kingdom
534194,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,,2.95,13069.0,United Kingdom
577156,22138,BAKING SET 9 PIECE RETROSPOT ,6,,4.95,13471.0,United Kingdom
513574,21791,VINTAGE HEADS AND TAILS CARD GAME ,3,,2.51,,United Kingdom
511055,20725,LUNCH BAG RED SPOTTY,5,2010-06-06 12:16:00,1.65,14415.0,United Kingdom
532635,22147,FELTCRAFT BUTTERFLY HEARTS,6,2010-12-11 15:40:00,1.45,15856.0,United Kingdom
573902,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,2011-01-11 14:51:00,5.95,17428.0,United Kingdom
492372,22317,FIVE CATS HANGING DECORATION,6,,2.95,13693.0,United Kingdom
500881,22476,EMPIRE UNION JACK TV DINNER TRAY,4,2010-10-03 14:49:00,4.95,13305.0,United Kingdom
490149,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,2009-04-12 09:43:00,17.35,,United Kingdom
539741,DOT,DOTCOM POSTAGE,1,,128.6,,United Kingdom
525974,22820,GIFT BAG BIRTHDAY,12,2010-08-10 10:23:00,0.65,14769.0,United Kingdom
562955,23159,SET OF 5 PANCAKE DAY MAGNETS,2,2011-11-08 10:14:00,4.13,,United Kingdom
536544,22919,HERB MARKER MINT,1,2010-01-12 14:32:00,1.66,,United Kingdom
565232,22811,SET OF 6 T-LIGHTS CACTI ,2,2011-02-09 09:30:00,5.79,,United Kingdom
569629,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,24,2011-05-10 11:37:00,0.19,15249.0,United Kingdom
509533,85066,CREAM SWEETHEART MINI CHEST,1,,25.49,,United Kingdom
548157,85099B,JUMBO BAG RED RETROSPOT,60,,1.65,14298.0,United Kingdom
560225,21623,VINTAGE UNION JACK MEMOBOARD,1,,19.96,,United Kingdom
535641,21181,PLEASE ONE PERSON METAL SIGN,5,,2.1,15465.0,United Kingdom
551982,22982,PANTRY PASTRY BRUSH,4,2011-05-05 13:56:00,1.25,15023.0,United Kingdom
579512,23156,SET OF 5 MINI GROCERY MAGNETS,1,,4.13,,United Kingdom
